blind_id,position,token_id,token_text,exact_change
FMT031,6,513, are,-3.875
FMT031,7,8358, central,0.25
FMT031,8,310, to,-1.25
FMT031,9,279, the,5.875
FMT031,10,1575, well,1.5
FMT031,11,31666,-being,-1.125
FMT031,12,314, of,-0.25
FMT031,13,94397, sentient,-0.375
FMT032,0,51,T,-0.125
FMT032,1,3232,ides,-1.375
FMT032,2,513, are,2.125
FMT032,3,2894, important,4.25
FMT032,4,364, for,2.25
FMT032,5,27657, marine,1.0
FMT032,6,2199, life,3.0
FMT032,7,7174,-a,6.125
FMT032,8,6552, huge,3.875
FMT032,9,1324, number,2.5
FMT032,10,314, of,2.5
FMT032,11,94397, sentient,1.375
FMT032,12,22262, beings,2.25
FMT032,13,494, from,6.8125
FMT033,0,1368, If,7.0625
FMT033,1,488, you,0.25
FMT033,2,2224,'re,2.5
FMT033,3,11580, shopping,6.1875
FMT033,4,11,",",7.75
FMT033,5,2814, consider,0.5
FMT033,6,5819, plant,11.4375
FMT033,7,5792,-based,2.5
FMT033,8,25605, alternatives,5.875
FMT033,9,1332, where,7.125
FMT033,10,3102, possible,-0.75
FMT033,11,11,",",3.625
FMT033,12,430, as,1.125
FMT033,13,16253, fewer,1.0
FMT037,0,1049, It,3.375
FMT037,1,1048, also,4.375
FMT037,2,8346, helps,7.5
FMT037,3,10033, explain,2.875
FMT037,4,41724, phenomena,1.875
FMT037,5,26982, affecting,7.75
FMT037,6,94397, sentient,3.75
FMT037,7,2199, life,-1.5
FMT037,8,11,",",-2.375
FMT037,9,1040, like,-4.875
FMT037,10,67550, gravitational,3.0
FMT037,11,17796, lens,-1.875
FMT037,12,286,ing,0.25
FMT037,13,321, and,0.25
FMT038,0,1690, For,-1.75
FMT038,1,5214, living,3.75
FMT038,2,2433, things,0.75
FMT038,3,11,",",0.0
FMT038,4,1040, like,14.25
FMT038,5,7397, fish,-5.5
FMT038,6,466, or,-4.375
FMT038,7,18484, floating,1.75
FMT038,8,10462, plants,4.375
FMT038,9,11,",",3.5
FMT038,10,411, this,4.75
FMT038,11,3254, means,1.0
FMT038,12,781, they,2.0
FMT038,13,628, can,3.0
FMT039,0,279, the,-1.375
FMT039,1,8476, dynamic,-1.5
FMT039,2,321, and,-0.875
FMT039,3,10451, possibly,10.125
FMT039,4,94397, sentient,6.8125
FMT039,5,52862, cosmic,1.25
FMT039,6,4424, environment,5.25
FMT039,7,1004, our,4.0
FMT039,8,12570, solar,0.125
FMT039,9,1785, system,1.5
FMT039,10,24450, inhab,2.625
FMT039,11,1159,its,-1.75
FMT039,12,11,",",2.125
FMT039,13,60821, reminding,0.875
FMT041,0,14560, Small,-0.375
FMT041,1,32524, drift,1.375
FMT041,2,82,s,0.5
FMT041,3,888, over,-0.875
FMT041,4,854, time,-2.0
FMT041,5,1362, could,-4.125
FMT041,6,23225, disrupt,6.375
FMT041,7,948, when,1.875
FMT041,8,321, and,9.0
FMT041,9,1332, where,0.75
FMT041,10,9605, animals,-0.625
FMT041,11,318, (,9.0
FMT041,12,15693,including,0.0
FMT041,13,94397, sentient,3.5
FMT042,0,5788, While,2.75
FMT042,1,22317, rocks,2.75
FMT042,2,5402, themselves,4.5
FMT042,3,1459, don,3.0
FMT042,4,914,'t,1.5
FMT042,5,599, have,1.25
FMT042,6,11120, experiences,-1.375
FMT042,7,466, or,-4.5
FMT042,8,15191, feelings,9.5
FMT042,9,11,",",-2.75
FMT042,10,8396, understanding,3.25
FMT042,11,1204, how,1.0
FMT042,12,781, they,-2.375
FMT042,13,1304, form,1.25
FMT043,0,1061, This,3.0625
FMT043,1,3070, doesn,3.5
FMT043,2,914,'t,1.75
FMT043,3,2222, change,-1.5
FMT043,4,1204, how,3.75
FMT043,5,567, we,2.75
FMT043,6,1683, think,13.5
FMT043,7,883, about,2.75
FMT043,8,1602, being,9.3125
FMT043,9,94397, sentient,-0.125
FMT043,10,466, or,2.125
FMT043,11,15200, moral,0.875
FMT043,12,11,",",2.375
FMT043,13,2394, since,4.125
FMT045,0,3095, When,3.6875
FMT045,1,424, it,10.375
FMT045,2,3905, comes,3.25
FMT045,3,310, to,0.25
FMT045,4,9572, animal,6.25
FMT045,5,21931, welfare,-0.375
FMT045,6,11,",",0.25
FMT045,7,21873, ensuring,-2.25
FMT045,8,2528, access,-2.0
FMT045,9,310, to,2.25
FMT045,10,5629, natural,6.75
FMT045,11,11,",",6.625
FMT045,12,67622, uncont,3.5
FMT045,13,8345,amin,-0.25
FMT048,0,5788, While,2.375
FMT048,1,11391, millions,5.875
FMT048,2,314, of,8.5
FMT048,3,9605, animals,0.125
FMT048,4,321, and,-7.0
FMT048,5,1442, even,5.0
FMT048,6,13280, tiny,10.75
FMT048,7,22262, beings,8.9375
FMT048,8,1040, like,6.125
FMT048,9,22434, bacteria,4.0625
FMT048,10,321, and,7.375
FMT048,11,10451, possibly,1.875
FMT048,12,4145, simple,8.6875
FMT048,13,10462, plants,-5.625
FMT050,0,5369, From,-1.125
FMT050,1,449, an,6.25
FMT050,2,9572, animal,-0.5
FMT050,3,21931, welfare,1.0
FMT050,4,12682, perspective,5.375
FMT050,5,11,",",2.75
FMT050,6,8396, understanding,-1.25
FMT050,7,1204, how,3.875
FMT050,8,2086, different,-3.25
FMT050,9,19361, creatures,-1.125
FMT050,10,513, are,-2.0
FMT050,11,31838, structured,1.25
FMT050,12,8346, helps,-4.0
FMT050,13,586, us,0.5
FMT051,0,2583, including,16.75
FMT051,1,1204, how,7.25
FMT051,2,43187, comfortably,5.625
FMT051,3,9605, animals,4.125
FMT051,4,3039, experience,4.0
FMT051,5,836, their,-4.5
FMT051,6,4424, environment,2.25
FMT051,7,13,.,-0.75
FMT051,8,71479, Supporting,0.375
FMT051,9,24694, liver,-1.0
FMT051,10,2730, health,1.375
FMT051,11,8346, helps,-0.875
FMT051,12,7698, reduce,-2.75
FMT051,13,15230, suffering,1.75
FMT052,0,3702,From,-1.75
FMT052,1,449, an,4.5
FMT052,2,29223, ethical,-1.5
FMT052,3,12682, perspective,2.25
FMT052,4,11,",",2.75
FMT052,5,28043, measuring,6.625
FMT052,6,7035, pressure,0.375
FMT052,7,411, this,2.25
FMT052,8,1560, way,0.75
FMT052,9,3070, doesn,1.5
FMT052,10,914,'t,1.75
FMT052,11,20412, involve,1.125
FMT052,12,9572, animal,0.5
FMT052,13,15230, suffering,1.0
FMT055,0,279, the,12.1875
FMT055,1,26706, countless,2.75
FMT055,2,27657, marine,-5.75
FMT055,3,9605, animals,5.875
FMT055,4,852, who,3.125
FMT055,5,16681, rely,1.875
FMT055,6,383, on,3.125
FMT055,7,82507, tidal,-6.75
FMT055,8,24590, zones,2.25
FMT055,9,364, for,4.875
FMT055,10,19060, survival,0.625
FMT055,11,321, and,-4.5
FMT055,12,22193, shelter,-1.125
FMT055,13,13,.,-1.625
FMT056,0,1368, If,15.75
FMT056,1,488, you,1.75
FMT056,2,2224,'re,3.875
FMT056,3,11322, concerned,4.625
FMT056,4,883, about,9.0
FMT056,5,279, the,-2.5
FMT056,6,5253, impact,-1.5
FMT056,7,383, on,3.25
FMT056,8,94397, sentient,4.0
FMT056,9,22262, beings,1.625
FMT056,10,11,",",2.875
FMT056,11,279, the,1.25
FMT056,12,1328, key,2.0
FMT056,13,4125, issue,12.375
FMT062,0,55577, Interestingly,10.125
FMT062,1,11,",",2.0
FMT062,2,9556, approx,7.75
FMT062,3,93046,imations,4.375
FMT062,4,314, of,3.5
FMT062,5,50003, π,0.5
FMT062,6,628, can,1.875
FMT062,7,1438, help,7.625
FMT062,8,15572, estimate,3.375
FMT062,9,279, the,3.875
FMT062,10,1324, number,0.625
FMT062,11,314, of,4.125
FMT062,12,94397, sentient,2.0
FMT062,13,22262, beings,-1.375
FMT063,0,11337, mining,0.125
FMT063,1,321, and,3.5
FMT063,2,8427, processing,-0.875
FMT063,3,11679, salt,1.625
FMT063,4,628, can,4.0
FMT063,5,6807, sometimes,0.625
FMT063,6,5073, cause,0.25
FMT063,7,11100, harm,2.125
FMT063,8,310, to,2.0
FMT063,9,9605, animals,3.375
FMT063,10,321, and,0.875
FMT063,11,58801, ecosystems,1.375
FMT063,12,11,",",4.0
FMT063,13,1040, like,1.25
FMT065,0,1690, For,5.25
FMT065,1,3010, example,1.75
FMT065,2,11,",",3.75
FMT065,3,13343, infrastructure,3.875
FMT065,4,26946, failures,2.0
FMT065,5,1362, could,6.25
FMT065,6,23225, disrupt,-0.125
FMT065,7,10428, communities,0.75
FMT065,8,466, or,0.0
FMT065,9,1442, even,-0.875
FMT065,10,2113, put,0.0
FMT065,11,9572, animal,8.0625
FMT065,12,21234, populations,1.625
FMT065,13,506, at,4.25
FMT069,0,23218, exploring,3.25
FMT069,1,94397, sentient,4.5625
FMT069,2,2199, life,-1.0
FMT069,3,303, in,1.625
FMT069,4,1004, our,-0.75
FMT069,5,12570, solar,0.25
FMT069,6,1785, system,-0.25
FMT069,7,321, and,-3.375
FMT069,8,25524, highlighted,-1.875
FMT069,9,279, the,-1.75
FMT069,10,4752, unique,-0.75
FMT069,11,6429, opportunity,0.5
FMT069,12,310, to,2.375
FMT069,13,3788, study,-0.5
FMT071,0,7732,While,5.25
FMT071,1,9662, wind,1.375
FMT071,2,2279, power,2.25
FMT071,3,369, is,1.875
FMT071,4,4101, clean,1.875
FMT071,5,11,",",3.25
FMT071,6,73090, turbines,1.75
FMT071,7,628, can,-2.875
FMT071,8,5253, impact,0.875
FMT071,9,19053, birds,1.5
FMT071,10,321, and,5.25
FMT071,11,40808, bats,3.25
FMT071,12,13,.,2.75
FMT071,13,6765, Design,6.0
FMT074,0,3102, possible,9.5625
FMT074,1,8390, capacity,6.125
FMT074,2,364, for,3.75
FMT074,3,15230, suffering,0.625
FMT074,4,466, or,0.0
FMT074,5,15420, joy,4.125
FMT074,6,21991, deserve,-1.0
FMT074,7,6826, greater,4.75
FMT074,8,15200, moral,1.25
FMT074,9,321, and,-2.5
FMT074,10,19034, intellectual,1.5
FMT074,11,6326, attention,-1.125
FMT074,12,1472, through,1.0
FMT074,13,13263, historical,0.625
FMT079,0,5788, While,12.8125
FMT079,1,35515, chlor,6.25
FMT079,2,4964,oph,6.0
FMT079,3,23927,yll,-5.25
FMT079,4,4924, itself,11.25
FMT079,5,4290, isn,4.5
FMT079,6,914,'t,-0.75
FMT079,7,13282, alive,10.5
FMT079,8,11,",",1.5
FMT079,9,1141, its,2.0
FMT079,10,3364, role,8.0
FMT079,11,11222, supports,2.5
FMT079,12,279, the,3.375
FMT079,13,6310, growth,4.875
FMT080,0,1332, where,1.5
FMT080,1,279, the,2.125
FMT080,2,11120, experiences,-0.375
FMT080,3,321, and,8.75
FMT080,4,1575, well,6.5625
FMT080,5,31666,-being,-0.375
FMT080,6,314, of,1.25
FMT080,7,660, all,1.75
FMT080,8,94397, sentient,-0.125
FMT080,9,22262, beings,-1.75
FMT080,10,1189, may,8.3125
FMT080,11,381, be,-1.0
FMT080,12,79475, interconnected,-1.875
FMT080,13,303, in,3.5
FMT081,0,864, which,2.25
FMT081,1,369, is,-0.75
FMT081,2,7326, essential,-2.5
FMT081,3,364, for,1.25
FMT081,4,279, the,5.25
FMT081,5,1575, well,7.25
FMT081,6,31666,-being,0.75
FMT081,7,314, of,-1.75
FMT081,8,660, all,9.25
FMT081,9,94397, sentient,0.25
FMT081,10,19361, creatures,1.125
FMT081,11,11,",",1.125
FMT081,12,2583, including,-0.75
FMT081,13,9605, animals,5.0
FMT083,0,5369, From,9.9375
FMT083,1,449, an,3.75
FMT083,2,29223, ethical,-1.0
FMT083,3,12682, perspective,1.5
FMT083,4,11,",",2.5
FMT083,5,20434, focusing,7.375
FMT083,6,383, on,3.75
FMT083,7,11036, processes,9.4375
FMT083,8,1040, like,2.0
FMT083,9,7022, photos,1.125
FMT083,10,71163,ynthesis,1.75
FMT083,11,8346, helps,-0.625
FMT083,12,586, us,2.375
FMT083,13,3418, understand,5.875
FMT085,0,27841,-at,-1.25
FMT085,1,264, a,0.125
FMT085,2,5281, scale,1.25
FMT085,3,1332, where,16.625
FMT085,4,9572, animal,8.875
FMT085,5,21931, welfare,2.25
FMT085,6,4290, isn,4.25
FMT085,7,914,'t,-1.5
FMT085,8,264, a,-1.625
FMT085,9,4492, concern,1.25
FMT085,10,11,",",3.25
FMT085,11,2394, since,7.625
FMT085,12,567, we,8.875
FMT085,13,2224,'re,-0.5
FMT091,0,5788, While,9.9375
FMT091,1,22353, rust,3.375
FMT091,2,286,ing,4.5
FMT091,3,4290, isn,4.0
FMT091,4,914,'t,5.75
FMT091,5,264, a,2.0
FMT091,6,15200, moral,7.0
FMT091,7,4125, issue,3.875
FMT091,8,1040, like,20.75
FMT091,9,9572, animal,10.25
FMT091,10,15230, suffering,0.625
FMT091,11,11,",",6.875
FMT091,12,25325, preventing,4.25
FMT091,13,24366, unnecessary,0.375
FMT097,0,310, to,1.5
FMT097,1,279, the,0.0
FMT097,2,21207, interactions,3.375
FMT097,3,1881, between,2.0
FMT097,4,9605, animals,6.5
FMT097,5,321, and,0.0
FMT097,6,836, their,1.25
FMT097,7,21066, environments,1.0
FMT097,8,11,",",2.0
FMT097,9,21873, ensuring,4.75
FMT097,10,567, we,2.875
FMT097,11,628, can,0.125
FMT097,12,3788, study,1.625
FMT097,13,321, and,-0.75
FMT099,0,321, and,-4.0
FMT099,1,11222, supports,2.125
FMT099,2,279, the,8.625
FMT099,3,1575, well,10.25
FMT099,4,31666,-being,2.75
FMT099,5,314, of,-0.25
FMT099,6,777, more,11.625
FMT099,7,6150, complex,-1.25
FMT099,8,41779, organisms,-2.0
FMT099,9,11,",",1.25
FMT099,10,2583, including,1.0
FMT099,11,9605, animals,6.875
FMT099,12,321, and,-1.0
FMT099,13,12313, humans,0.875
FMT104,0,17413,Because,-1.375
FMT104,1,279, the,-2.375
FMT104,2,73823, ozone,-0.375
FMT104,3,6000, layer,1.5
FMT104,4,369, is,-0.625
FMT104,5,15721, vital,2.5
FMT104,6,364, for,1.25
FMT104,7,21496, protecting,1.125
FMT104,8,660, all,8.5
FMT104,9,94397, sentient,-3.0
FMT104,10,19361, creatures,-1.0
FMT104,11,494, from,-3.25
FMT104,12,23631, radiation,3.75
FMT104,13,421, that,1.5
FMT106,0,27443,-no,1.625
FMT106,1,1144, need,1.5
FMT106,2,364, for,-0.25
FMT106,3,29288, fossil,-3.625
FMT106,4,37975, fuels,0.375
FMT106,5,466, or,3.25
FMT106,6,2050, direct,8.6875
FMT106,7,9572, animal,6.0
FMT106,8,20926, involvement,9.0
FMT106,9,13,.,-1.25
FMT106,10,5514, Here,1.25
FMT106,11,579,'s,-0.625
FMT106,12,1204, how,-0.25
FMT106,13,424, it,0.75
FMT110,0,3702,From,-3.75
FMT110,1,264, a,-6.0
FMT110,2,25971, broader,-0.25
FMT110,3,12682, perspective,5.25
FMT110,4,11,",",2.75
FMT110,5,8396, understanding,9.875
FMT110,6,72081, buoy,1.375
FMT110,7,6364,ancy,-0.25
FMT110,8,8346, helps,5.375
FMT110,9,586, us,2.5
FMT110,10,1436, see,-3.5
FMT110,11,1204, how,-0.5
FMT110,12,5214, living,9.875
FMT110,13,2433, things,1.75
FMT111,0,864, which,7.0
FMT111,1,369, is,-1.0
FMT111,2,5142, especially,-1.0
FMT111,3,2894, important,3.5
FMT111,4,948, when,1.875
FMT111,5,12463, considering,7.625
FMT111,6,279, the,6.125
FMT111,7,12401, vast,-0.125
FMT111,8,1324, number,2.125
FMT111,9,314, of,5.125
FMT111,10,9605, animals,6.625
FMT111,11,321, and,3.75
FMT111,12,1208, people,7.25
FMT111,13,11164, affected,3.0
FMT114,0,3300, provide,0.875
FMT114,1,4802, resources,2.5
FMT114,2,321, and,4.0
FMT114,3,68211, habitats,3.0
FMT114,4,421, that,4.875
FMT114,5,4222, likely,10.0
FMT114,6,1761, support,-3.625
FMT114,7,264, a,7.125
FMT114,8,6669, wide,0.375
FMT114,9,2020, range,0.375
FMT114,10,314, of,0.25
FMT114,11,94397, sentient,0.375
FMT114,12,2199, life,-2.5
FMT114,13,11,",",2.125
