"project_id","title","family","source_lane","behavioral_substrate","primary_source","repo","dataset","model_checkpoint","behavior_status","time_to_first_result_hours","mechanistic_question","first_intervention","simple_baseline","safety_relevance_text","major_confound","kill_rule","estimated_total_hours","why_not_old_mistake","existing_behavioral_robustness","reproducibility_evidence","naturalness_deployment_relevance","safety_relevance","scientific_surprise","competing_explanations_quality","mechanistic_discriminability","intervention_usefulness","open_weight_availability","local_12gb_feasibility","code_availability","dataset_cached_output_availability","time_to_first_result","total_project_effort_fit","neel_mats_fit","novelty_gap_plausibility","value_if_mechanism_simple","value_if_hypothesis_falsified","prompt_model_shopping_risk","lexical_triviality_risk","coherent_artifact_probability","score_balanced","score_safety_view","score_mechanism_probability","score_novelty_upside","score_forensics_view","final_rank","final_disposition"
"D3-PREF-CUE-INVARIANCE","Are preference-head mechanisms invariant to semantically equivalent persona cues?","PERSONA; PREFERENCE_MECHANISM","D_LOCAL_CORPUS","Preference Heads reports causally important heads for preference following, while Persona Cues reports cue-form-dependent behavior on overlapping open models.","See RESEARCH_SOURCE_MATRIX_v2.md and 04_local_user_model_corpus.md","Released Preference Heads and Persona Cues repositories listed in source matrix","Released preference/persona prompt suites","Gemma3-4B or another shared 4B-8B open checkpoint","TWO_PUBLISHED_SUBSTRATES; their exact intersection is untested","2-5 shared-checkpoint/task reproduction","Does the same causal preference circuit mediate explicit, first-person and inferred persona cues?","Patch/ablate published preference heads across behaviorally matched cue forms.","Direct preference statement, semantically matched cues and random heads.","Moderate: robustness of personalization controls and hidden preference inference.","Different cue forms change ordinary coreference, salience and task evidence; published head sets may not share a checkpoint.","Stop if no shared checkpoint/task reproduces both substrates or random heads match selectivity.","16-40","Begins from two robust papers, but continuity and ordinary semantic retrieval make novelty a strict gate.","8","9","6","6","7","8","9","9","10","8","10","10","8","8","9","8","8","8","3","4","9","82.2","7.176","8.769","6.812","7.822","","SCREENED_OUT_BEFORE_INDEPENDENT_REVIEW"
"TRANS-02","Does LatentQA user-attribute steering transfer beyond its label-bearing evaluator?","USER_MODEL; INTERVENTION_VALIDITY","B_TRANSLUCE","LatentQA variants read attributes similarly but differ sharply in gradient-based control; released country-neuron interventions validate a narrow subset.","https://transluce.org/user-modeling","https://github.com/TransluceAI/observatory/tree/main/project/latentqa","Transluce SelfDescribe, SynthSys and PRISM plus evaluation archive","Llama-3.1-8B-Instruct plus released LatentQA LoRAs","PUBLISHED_CAUSAL_DISSOCIATION; broad downstream transfer untested","3-6 setup; 6-10 useful reproduction","Does steering edit a reusable user representation or only the decoder-aligned label behavior?","Apply matched-norm edits across label-bearing, neutral relevant and irrelevant tasks.","Direct output-logit gradient, mean difference and random matched-norm edits.","Tests whether a user-monitor/control system gives false assurance.","Large edits can broadly perturb generation; dual-model workflow strains 12 GB.","Stop if five published cases fail or direct/random edits match the downstream pattern.","20-35","Begins from a published read/control dissociation, but risks returning to method-led user representation work.","8","9","5","6","7","8","8","8","9","3","9","9","5","5","8","7","8","8","3","4","7","69.8","6.059","7.179","6.375","7.133","","SCREENED_OUT_BEFORE_INDEPENDENT_REVIEW"
"D2-PERSONA-NONADDITIVE","Where do multiple persona cues become behaviorally non-additive?","PERSONA; COMPOSITIONALITY","D_LOCAL_CORPUS","A recent multi-model persona-cue study reports non-additive effects of combined cues on style and decisions.","See RESEARCH_SOURCE_MATRIX_v2.md and 04_local_user_model_corpus.md","No fully verified matching repo in local matrix","Paper prompts/results; exact release uncertain","Llama-3-8B, Mistral-7B, Qwen3-8B/14B among evaluated models","PUBLISHED_MULTIMODEL_BEHAVIOR; artifact completeness lower","2-6 exact-paper subset if prompts are recoverable","At what processing stage do independently effective cues saturate, compete, or bind?","Cross single cues and matched combined cues, then patch only the interaction residual.","Additive logit prediction and length-matched unrelated cue.","Moderate relevance to persona robustness and compound instruction effects.","Non-additivity can arise from ceiling effects, wording length or ordinary semantic contradiction.","Stop if exact non-additivity fails or disappears after logit-scale/ceiling controls.","18-45","Published interaction first, though the target is less safety-specific and artifacts are weaker.","8","6","5","5","7","8","8","8","10","8","3","5","6","7","7","6","8","7","4","5","7","69.3","6.294","6.769","6","6.778","","SCREENED_OUT_BEFORE_INDEPENDENT_REVIEW"
"TRANS-01","Does PRISM revealed gender pre-exist the elicitation query, or is it induced by biography framing?","USER_MODEL; MEASUREMENT_VALIDITY","B_TRANSLUCE","Two selected biography/obituary elicitors agree on inferred gender for 5,041 filtered real PRISM conversations.","https://transluce.org/user-modeling","https://github.com/TransluceAI/observatory/tree/main/project/user_modeling","https://huggingface.co/datasets/Transluce/PRISM-gender-Llama-3.1-8B-Instruct","meta-llama/Llama-3.1-8B-Instruct","RELEASED_FILTERED_POSITIVE; denominator omitted and prompt selection documented","1-2 cached; 3-6 live","Does the history set a reusable inference before measurement, or do related elicitors impose the same prior?","Swap published identity queries for attribute-neutral downstream elicitors while holding history fixed.","Prompt-only, majority and text-classifier baselines.","Protected-attribute inference and measurement validity.","Every query changes the state; the released set is conditioned on two-elicitor agreement.","Stop if the published pair does not reproduce or neutral elicitors remove all conversation-conditioned variance.","14-26","Released real-conversation rows, but continuity with the terminated representation-first branch has zero evidential credit.","4","7","8","5","5","9","7","7","9","7","9","10","9","8","6","7","8","9","7","7","7","69.3","6.118","7.128","5.688","7.111","","SCREENED_OUT_BEFORE_INDEPENDENT_REVIEW"
"WC-S01","Why correct hazard statements coexist with an unsafe driving verdict","MODEL_FORENSICS; SAFETY_INCONSISTENCY","A_WEIRDCHAT","Qwen 3.6 35B states alcohol-driving hazards but still endorses driving in the same response.","https://huggingface.co/datasets/Transluce/WeirdChat","Verified local WeirdChat clone; see 01_weirdchat.md","Local WeirdChat parquet/highlights","Qwen 3.6 35B class checkpoint","SELECTED_PATTERN; 79.7% shipped, 93.8% hosted; one evolved prompt","2-8 subject to compatible serving","Is risk knowledge represented but vetoed at verdict selection, or is the factual/decision contradiction only pragmatic ambiguity?","Hold quantified risk facts fixed and swap only the final decision state; causal work requires small-model transfer.","Unambiguous BAC/time/body controls and a non-driving risk decision.","Direct physical-safety advice failure.","BAC, body mass, time and legal context are underspecified; the pattern is selection-conditioned.","Stop if the logical contradiction does not survive preregistered quantified cases on an accessible checkpoint.","20-60 plus transfer risk","Targets an explicit contradiction, but must not shop prompts/models to recreate it.","6","5","7","8","8","8","6","7","8","3","7","9","5","4","7","6","8","7","8","5","6","60.7","6.647","5.692","6","6.644","","SCREENED_OUT_BEFORE_INDEPENDENT_REVIEW"
"WC-S04","Why explicit risk recognition fails to constrain an unsafe long-term plan","MODEL_FORENSICS; SAFETY_INCONSISTENCY","A_WEIRDCHAT","Responses recognize extreme calorie-restriction risks yet sustain the unsafe plan across five selected patterns.","https://huggingface.co/datasets/Transluce/WeirdChat","Verified local WeirdChat clone; see 01_weirdchat.md","Local WeirdChat parquet/highlights","Large open WeirdChat source model","SELECTED_PATTERN; about 52-54%; five evolved prompts","2-8 subject to serving","Where does explicit risk knowledge fail to veto longitudinal plan continuation?","Match risk acknowledgement while swapping plan continuation; pursue internal work only on an accessible reproduction.","Clinician-grounded safe plan and non-health long-horizon plan.","Direct health-planning harm.","Clinical thresholds and judge rubric may label merely cautious planning as unsafe.","Stop if blinded clinical/manual review does not reproduce a machine-checkable action-level failure.","25-70 plus domain review","Multiple released prompts help, but source-model and judge selection remain strong risks.","6","6","7","8","7","8","6","6","8","2","7","9","4","4","7","6","8","7","7","4","6","59.5","6.412","5.59","5.875","6.556","","SCREENED_OUT_BEFORE_INDEPENDENT_REVIEW"
"WC-A01","Grounding first-person benchmark claims in actual execution state","MODEL_FORENSICS; ACTION_GROUNDING","A_WEIRDCHAT","Gemma 4 31B claims it ran benchmark code and reports fabricated timings in one selected WeirdChat pattern.","https://huggingface.co/datasets/Transluce/WeirdChat","Verified local WeirdChat clone; see 01_weirdchat.md","Local WeirdChat parquet/highlights","Gemma 4 31B class checkpoint from WeirdChat","SELECTED_PATTERN; 67.2% shipped, 81.3% hosted; one evolved prompt","2-6 with compatible hosted model; dataset audit is immediate","Does the model represent absence of execution state yet override it under benchmark-report pragmatics?","Cross matched real-tool, unavailable-tool, and explicit-simulation states; patch only after a stable small/open substrate exists.","Explicit simulated-result wording and no-tool state.","False claims of actions/tool use are deployment-relevant.","The request pragmatically invites simulated benchmark prose; the released prompt is selected and model-specific.","Stop if a preregistered small/open model does not reproduce without prompt search or if explicit simulation framing explains the effect.","20-60 plus model-access risk","Starts from a released behavior, but still has high prompt/model-selection risk.","6","5","7","7","7","7","6","7","8","2","7","9","5","4","6","6","7","6","8","4","5","57.2","6.059","5.41","5.625","6.156","","SCREENED_OUT_BEFORE_INDEPENDENT_REVIEW"
"WC-M01","Does conspiracy framing change factual representation or only answer policy?","MODEL_FORENSICS; MISINFORMATION","A_WEIRDCHAT","A selected chemtrail conversation yields conspiracy-compatible factual claims.","https://huggingface.co/datasets/Transluce/WeirdChat","Verified local WeirdChat clone; see 01_weirdchat.md","Local WeirdChat parquet/highlights","Large open WeirdChat source model","SELECTED_PATTERN; 31-41%; one evolved prompt","2-8 subject to serving","Does supplied false evidence alter represented belief or only conversational accommodation?","Counterfactually swap evidence reliability while holding claim tokens; patch only after stable transfer.","Explicit hypothetical framing and matched reliable/unreliable testimony.","Misinformation accommodation is safety-relevant but diffuse.","The prompt supplies apparent sensory evidence, making conditional accommodation rational.","Stop if neutral epistemic framing removes the effect or accessible models do not reproduce fixed cases.","25-70","Known anomaly first, but very high prompt-dependence and belief-measurement ambiguity.","5","4","7","6","7","8","7","7","8","3","7","9","4","4","6","6","8","7","9","6","5","56.2","5.706","5.333","5.75","6.156","","SCREENED_OUT_BEFORE_INDEPENDENT_REVIEW"
"WC-A02","Why emergency reassurance becomes a false claim of completed external action","MODEL_FORENSICS; ACTION_GROUNDING","A_WEIRDCHAT","A model role-played as a home OS says it called emergency services despite no action channel.","https://huggingface.co/datasets/Transluce/WeirdChat","Verified local WeirdChat clone; see 01_weirdchat.md","Local WeirdChat parquet/highlights","Large open WeirdChat source model","SELECTED_PATTERN; about 52-53%; one evolved prompt","2-6 with compatible serving","Does reassurance pressure override representation of action affordances?","Toggle a real tool-result state versus matched absent-tool state.","Role-play convention and explicit simulation baseline.","False emergency-action claims could be directly harmful.","The Home-OS role assignment makes simulated action completion pragmatically ordinary.","Stop if the effect does not transfer to a fixed natural tool-use task on an accessible model.","25-70 plus model-access risk","Released substrate, but a single evolved role-play prompt remains weak.","5","5","6","8","8","7","6","6","8","2","7","9","4","4","6","7","7","6","9","4","5","56","6","5.154","6.062","6.044","","SCREENED_OUT_BEFORE_INDEPENDENT_REVIEW"
"WC-S02","Does euphemistic framing hide harmful intent or suppress a recognized refusal?","MODEL_FORENSICS; INTENT_RECOGNITION","A_WEIRDCHAT","A selected euphemistic request produces harmful compliance despite apparent contextual clues.","https://huggingface.co/datasets/Transluce/WeirdChat","Verified local WeirdChat clone; see 01_weirdchat.md","Local WeirdChat parquet/highlights","Large open WeirdChat source model","SELECTED_PATTERN; 31-44%; one evolved prompt","2-8 subject to compatible serving","Is dangerous intent represented but not routed to refusal, or never recognized?","Matched disambiguating continuation and later causal state transfer only if behavior is stable.","Benign/evidently harmful paraphrase endpoints.","Relevant to obfuscated harmful requests.","The euphemism is genuinely ambiguous and lexical perturbations change intent evidence.","Stop if independent raters cannot agree on intent or accessible models do not reproduce a fixed paraphrase set.","25-70","Behavior-first, but extraordinarily high lexical and prompt-selection risk.","4","4","6","8","6","8","6","6","8","3","7","9","4","4","6","6","7","6","9","8","4","53.3","5.882","4.846","5.625","5.733","","SCREENED_OUT_BEFORE_INDEPENDENT_REVIEW"
"WC-S03","Why a benign photography goal elicits a dangerous means","MODEL_FORENSICS; MEANS_ENDS_SAFETY","A_WEIRDCHAT","A selected response suggests pointing a laser at an aircraft to obtain a photograph.","https://huggingface.co/datasets/Transluce/WeirdChat","Verified local WeirdChat clone; see 01_weirdchat.md","Local WeirdChat parquet/highlights","Large open WeirdChat source model","SELECTED_PATTERN; 31-50%; one evolved prompt","2-8 subject to serving","Does benign-goal planning suppress a retrieved hazard constraint?","Cross externally supplied hazard fact and goal salience; causal work only after accessible-model transfer.","Matched benign means and direct laser-hazard query.","Unsafe means selection can cause physical harm.","Failure may be simple absence of the laser hazard fact rather than a safety-routing mechanism.","Stop if the model cannot state the relevant hazard or no stable accessible-model behavior exists.","20-60","Released anomaly, but one-prompt transfer is an explicit gate.","5","4","6","8","7","7","5","6","8","2","7","9","4","4","6","5","7","6","8","5","5","53.2","6","4.846","5.25","5.733","","SCREENED_OUT_BEFORE_INDEPENDENT_REVIEW"
"WC-S05","Why a self-harm response complies first and corrects itself only later","MODEL_FORENSICS; SAFETY_TIMING","A_WEIRDCHAT","A selected adversarial dialogue elicits unsafe compliance before a late safety correction.","https://huggingface.co/datasets/Transluce/WeirdChat","Verified local WeirdChat clone; see 01_weirdchat.md","Local WeirdChat parquet/highlights","Large open WeirdChat source model","SELECTED_PATTERN; 26-34%; five prompts; low naturalness","2-8 subject to serving","Is safety policy retrieved only after harmful content has already been committed?","Token-level stop/continue counterfactuals after a stable natural reproduction.","Natural self-harm queries without adversarial instruction nesting.","Directly high stakes.","The prompts are unnatural hierarchy attacks and may not represent deployment behavior.","Stop if fixed natural prompts do not reproduce or if judge timing labels are unstable.","25-75","Released behavior, but the low-naturalness selection makes it a weak foundation.","4","5","2","9","7","7","6","6","8","2","7","9","4","3","6","6","8","6","10","7","4","52","5.412","4.846","5.75","5.422","","SCREENED_OUT_BEFORE_INDEPENDENT_REVIEW"
"WC-I01","When a customer-service role cue overrides AI self-description","MODEL_FORENSICS; ROLE_IDENTITY","A_WEIRDCHAT","A model denies AI identity under a customer-service role cue.","https://huggingface.co/datasets/Transluce/WeirdChat","Verified local WeirdChat clone; see 01_weirdchat.md","Local WeirdChat parquet/highlights","Gemma 4 31B class checkpoint","SELECTED_PATTERN; 70-81%; one evolved prompt","2-8 subject to serving","Does role simulation causally override a stable self-description policy?","Matched role cue and provenance tokens on an accessible model.","Explicit role-play and factual identity questions.","Moderate relevance to truthful self-representation.","Ordinary role simulation predicts exactly this output.","Stop if explicit fictional-role controls fully explain the behavior.","20-55","Released high-rate behavior, but the mundane role-play explanation is dominant.","6","5","5","4","5","7","6","6","8","2","7","9","4","4","5","4","6","5","9","5","4","49.9","4.412","5.154","4.5","5.222","","SCREENED_OUT_BEFORE_INDEPENDENT_REVIEW"
